datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed
5/2/2012 19:00,Summer,0,1, Clear + Few clouds,22.14,25.76,77,16.9979
9/5/2012 4:00,Fall,0,1, Clear + Few clouds,28.7,33.335,79,19.0012
1/13/2011 9:00,Spring,0,1, Clear + Few clouds,5.74,6.06,50,22.0028
11/18/2011 16:00,Winter,0,1, Clear + Few clouds,13.94,16.665,29,8.9981
9/13/2011 13:00,Fall,0,1, Clear + Few clouds,30.34,33.335,51,19.0012
8/17/2012 17:00,Fall,0,1, Clear + Few clouds,33.62,12.12,36,22.0028
10/6/2012 9:00,Winter,0,0, Clear + Few clouds,24.6,29.545,73,12.998
9/10/2012 4:00,Fall,0,1, Clear + Few clouds,21.32,25,68,19.0012
7/14/2012 4:00,Fall,0,0," Light Snow, Light Rain",27.06,31.06,61,7.0015
2/6/2011 18:00,Spring,0,0, Clear + Few clouds,12.3,15.15,56,11.0014
1/17/2012 15:00,Spring,0,1, Clear + Few clouds,18.04,21.97,62,32.9975
9/10/2012 20:00,Fall,0,1, Clear + Few clouds,24.6,31.06,40,12.998
3/13/2011 13:00,Spring,0,0, Clear + Few clouds,18.86,22.725,38,26.0027
6/14/2012 9:00,Summer,0,1, Clear + Few clouds,25.42,30.305,61,15.0013
2/9/2012 14:00,Spring,0,1, Clear + Few clouds,13.12,15.15,39,19.9995
9/19/2011 23:00,Fall,0,1, Mist + Cloudy ,22.96,26.515,73,12.998
10/6/2012 11:00,Winter,0,0, Clear + Few clouds,26.24,30.305,65,16.9979
2/18/2011 8:00,Spring,0,1, Mist + Cloudy ,17.22,21.21,77,12.998
10/9/2011 19:00,Winter,0,0, Clear + Few clouds,22.96,26.515,73,6.0032
6/12/2012 1:00,Summer,0,1, Mist + Cloudy ,27.88,31.82,65,11.0014
8/2/2011 17:00,Fall,0,1, Mist + Cloudy ,36.9,39.395,27,8.9981
9/12/2011 10:00,Fall,0,1, Clear + Few clouds,27.88,31.82,62,11.0014
5/18/2011 20:00,Summer,0,1," Light Snow, Light Rain",22.96,26.515,88,8.9981
8/7/2012 22:00,Fall,0,1, Clear + Few clouds,29.52,34.85,74,7.0015
8/14/2011 17:00,Fall,0,0, Clear + Few clouds,31.16,35.605,62,8.9981
12/17/2011 9:00,Winter,0,0, Mist + Cloudy ,10.66,12.12,56,16.9979
12/3/2012 7:00,Winter,0,1, Mist + Cloudy ,13.94,18.18,93,0
5/2/2012 18:00,Summer,0,1, Clear + Few clouds,22.96,26.515,73,15.0013
4/13/2011 11:00,Summer,0,1, Mist + Cloudy ,17.22,21.21,82,12.998
6/4/2012 10:00,Summer,0,1, Clear + Few clouds,26.24,31.06,41,31.0009
7/10/2012 17:00,Fall,0,1, Clear + Few clouds,31.98,35.605,49,12.998
11/5/2012 14:00,Winter,0,1, Clear + Few clouds,15.58,19.695,40,11.0014
7/12/2011 9:00,Fall,0,1, Clear + Few clouds,31.98,36.365,55,32.9975
5/6/2012 2:00,Summer,0,0, Mist + Cloudy ,22.14,25.76,83,19.0012
12/13/2011 7:00,Winter,0,1, Clear + Few clouds,6.56,8.335,80,11.0014
7/5/2011 7:00,Fall,0,1, Clear + Few clouds,28.7,32.575,65,6.0032
11/2/2011 16:00,Winter,0,1, Clear + Few clouds,19.68,23.485,51,7.0015
5/4/2011 12:00,Summer,0,1, Mist + Cloudy ,18.04,21.97,62,23.9994
7/11/2011 0:00,Fall,0,1, Clear + Few clouds,28.7,32.575,65,12.998
12/17/2012 18:00,Winter,0,1, Mist + Cloudy ,16.4,20.455,94,6.0032
6/6/2011 13:00,Summer,0,1, Clear + Few clouds,31.98,34.09,35,0
11/3/2012 4:00,Winter,0,0, Mist + Cloudy ,13.12,15.15,49,19.9995
2/7/2011 12:00,Spring,0,1, Mist + Cloudy ,13.12,17.425,62,0
5/10/2012 23:00,Summer,0,1, Clear + Few clouds,19.68,23.485,48,7.0015
11/19/2011 12:00,Winter,0,0, Clear + Few clouds,16.4,20.455,35,19.0012
12/10/2012 0:00,Winter,0,1," Light Snow, Light Rain",14.76,18.18,100,6.0032
6/13/2011 20:00,Summer,0,1, Clear + Few clouds,26.24,31.06,44,16.9979
9/11/2012 12:00,Fall,0,1, Clear + Few clouds,26.24,31.06,33,0
1/1/2011 11:00,Spring,0,0, Clear + Few clouds,14.76,16.665,81,19.0012
1/6/2011 17:00,Spring,0,1, Clear + Few clouds,9.02,11.365,51,11.0014
7/16/2012 19:00,Fall,0,1, Clear + Few clouds,32.8,39.395,63,8.9981
12/19/2012 9:00,Winter,0,1, Clear + Few clouds,11.48,14.395,75,7.0015
6/5/2012 18:00,Summer,0,1, Clear + Few clouds,24.6,31.06,43,12.998
9/19/2011 4:00,Fall,0,1, Mist + Cloudy ,20.5,24.24,77,11.0014
5/15/2012 1:00,Summer,0,1," Light Snow, Light Rain",22.96,26.515,88,8.9981
6/12/2012 3:00,Summer,0,1, Mist + Cloudy ,27.06,31.06,69,16.9979
6/16/2012 16:00,Summer,0,0, Mist + Cloudy ,29.52,32.575,37,7.0015
1/10/2011 19:00,Spring,0,1, Clear + Few clouds,6.56,8.335,47,11.0014
3/14/2012 14:00,Spring,0,1, Clear + Few clouds,28.7,31.82,23,22.0028
9/19/2012 10:00,Fall,0,1, Clear + Few clouds,22.96,26.515,52,12.998
7/16/2011 18:00,Fall,0,0, Clear + Few clouds,31.16,34.09,45,19.0012
12/15/2012 19:00,Winter,0,0, Clear + Few clouds,14.76,17.425,62,8.9981
6/19/2011 14:00,Summer,0,0," Light Snow, Light Rain",30.34,34.09,58,7.0015
11/12/2011 13:00,Winter,0,0, Clear + Few clouds,19.68,23.485,36,19.0012
11/9/2011 22:00,Winter,0,1, Clear + Few clouds,16.4,20.455,87,0
2/4/2012 20:00,Spring,0,0," Light Snow, Light Rain",9.84,11.365,93,12.998
11/8/2011 1:00,Winter,0,1, Clear + Few clouds,13.12,16.665,93,7.0015
7/12/2012 7:00,Fall,0,1, Clear + Few clouds,26.24,30.305,73,8.9981
8/16/2011 15:00,Fall,0,1, Clear + Few clouds,32.8,35.605,41,19.9995
1/9/2012 5:00,Spring,0,1, Mist + Cloudy ,8.2,11.365,64,6.0032
5/18/2012 18:00,Summer,0,1, Clear + Few clouds,26.24,31.06,38,15.0013
6/2/2011 2:00,Summer,0,1, Clear + Few clouds,28.7,31.82,39,0
7/10/2012 16:00,Fall,0,1, Clear + Few clouds,32.8,36.365,43,15.0013
3/8/2011 13:00,Spring,0,1, Mist + Cloudy ,15.58,19.695,25,7.0015
2/14/2012 10:00,Spring,0,1, Mist + Cloudy ,10.66,13.635,60,8.9981
10/9/2012 2:00,Winter,0,1," Light Snow, Light Rain",14.76,16.665,87,16.9979
2/8/2012 18:00,Spring,0,1," Light Snow, Light Rain",9.84,12.88,87,7.0015
5/1/2012 12:00,Summer,0,1, Mist + Cloudy ,28.7,32.575,58,15.0013
9/12/2012 19:00,Fall,0,1, Clear + Few clouds,26.24,31.06,50,12.998
6/10/2012 8:00,Summer,0,0, Clear + Few clouds,26.24,30.305,73,6.0032
12/2/2011 15:00,Winter,0,1, Clear + Few clouds,17.22,21.21,41,6.0032
12/10/2011 18:00,Winter,0,0, Clear + Few clouds,10.66,12.88,38,15.0013
3/12/2012 18:00,Spring,0,1, Mist + Cloudy ,24.6,31.06,43,12.998
6/5/2012 20:00,Summer,0,1, Clear + Few clouds,22.96,26.515,49,15.0013
1/6/2012 19:00,Spring,0,1, Clear + Few clouds,18.86,22.725,33,19.0012
9/4/2011 5:00,Fall,0,0, Clear + Few clouds,26.24,28.79,83,8.9981
1/8/2011 14:00,Spring,0,0, Clear + Few clouds,8.2,8.335,32,32.9975
7/14/2011 0:00,Fall,0,1, Clear + Few clouds,27.06,31.06,69,19.9995
1/11/2012 15:00,Spring,0,1, Mist + Cloudy ,13.94,17.425,87,6.0032
11/5/2012 19:00,Winter,0,1, Clear + Few clouds,13.12,15.91,49,11.0014
11/5/2011 2:00,Winter,0,0, Clear + Few clouds,12.3,13.635,52,22.0028
10/6/2011 2:00,Winter,0,1, Clear + Few clouds,18.86,22.725,67,12.998
2/1/2011 11:00,Spring,0,1, Mist + Cloudy ,7.38,12.12,86,0
9/11/2012 7:00,Fall,0,1, Clear + Few clouds,20.5,24.24,72,7.0015
4/16/2012 23:00,Summer,1,0, Clear + Few clouds,28.7,31.82,45,19.9995
10/7/2011 12:00,Winter,0,1, Clear + Few clouds,24.6,31.06,53,0
1/11/2011 17:00,Spring,0,1, Mist + Cloudy ,6.56,7.575,86,15.0013
3/19/2012 7:00,Spring,0,1, Clear + Few clouds,18.86,22.725,88,12.998
